uniprot_id	target_key	hgnc	species
Q8N5Z0	AADAT	AADAT	Homo sapiens (Human)
Q2M2I8	AAK1	AAK1	Homo sapiens (Human)
P80404	ABAT	ABAT	Homo sapiens (Human)
O95477	ABCA1	ABCA1	Homo sapiens (Human)
P08183	ABCB1	ABCB1	Homo sapiens (Human)
P33527	ABCC1	ABCC1	Homo sapiens (Human)
Q92887	ABCC2	ABCC2	Homo sapiens (Human)
O15438	ABCC3	ABCC3	Homo sapiens (Human)
O15439	ABCC4	ABCC4	Homo sapiens (Human)
O15440	ABCC5	ABCC5	Homo sapiens (Human)
Q09428	ABCC8	ABCC8	Homo sapiens (Human)
O60706	ABCC9	ABCC9	Homo sapiens (Human)
Q9UNQ0	ABCG2	ABCG2	Homo sapiens (Human)
O95870	ABHD16A	ABHD16A	Homo sapiens (Human)
Q9BV23	ABHD6	ABHD6	Homo sapiens (Human)
P00519	ABL1	ABL1	Homo sapiens (Human)
P42684	ABL2	ABL2	Homo sapiens (Human)
P42765	ACAA2	ACAA2	Homo sapiens (Human)
Q13085	ACACA	ACACA	Homo sapiens (Human)
O00763	ACACB	ACACB	Homo sapiens (Human)
P45954	ACADSB	ACADSB	Homo sapiens (Human)
P24752	ACAT1	ACAT1	Homo sapiens (Human)
Q9BWD1	ACAT2	ACAT2	Homo sapiens (Human)
P12821	ACE	ACE	Homo sapiens (Human)
Q9BYF1	ACE2	ACE2	Homo sapiens (Human)
P22303	ACHE	ACHE	Homo sapiens (Human)
P25106	ACKR3	ACKR3	Homo sapiens (Human)
P53396	ACLY	ACLY	Homo sapiens (Human)
Q8TDX5	ACMSD	ACMSD	Homo sapiens (Human)
P24666	ACP1	ACP1	Homo sapiens (Human)
P15309	ACP3	ACP3	Homo sapiens (Human)
P68133	ACTA1	ACTA1	Homo sapiens (Human)
P60709	ACTB	ACTB	Homo sapiens (Human)
P61160	ACTR2	ACTR2	Homo sapiens (Human)
P61158	ACTR3	ACTR3	Homo sapiens (Human)
Q04771	ACVR1	ACVR1	Homo sapiens (Human)
P36896	ACVR1B	ACVR1B	Homo sapiens (Human)
P37023	ACVRL1	ACVRL1	Homo sapiens (Human)
P00813	ADA	ADA	Homo sapiens (Human)
O14672	ADAM10	ADAM10	Homo sapiens (Human)
O43184	ADAM12	ADAM12	Homo sapiens (Human)
P78536	ADAM17	ADAM17	Homo sapiens (Human)
O75173	ADAMTS4	ADAMTS4	Homo sapiens (Human)
Q9UNA0	ADAMTS5	ADAMTS5	Homo sapiens (Human)
P55265	ADAR	ADAR	Homo sapiens (Human)
Q08828	ADCY1	ADCY1	Homo sapiens (Human)
Q96PN6	ADCY10	ADCY10	Homo sapiens (Human)
Q08462	ADCY2	ADCY2	Homo sapiens (Human)
O60266	ADCY3	ADCY3	Homo sapiens (Human)
Q8NFM4	ADCY4	ADCY4	Homo sapiens (Human)
O95622	ADCY5	ADCY5	Homo sapiens (Human)
O43306	ADCY6	ADCY6	Homo sapiens (Human)
P51828	ADCY7	ADCY7	Homo sapiens (Human)
P40145	ADCY8	ADCY8	Homo sapiens (Human)
O60503	ADCY9	ADCY9	Homo sapiens (Human)
P18509	ADCYAP1	ADCYAP1	Homo sapiens (Human)
P11766	ADH5	ADH5	Homo sapiens (Human)
Q96A54	ADIPOR1	ADIPOR1	Homo sapiens (Human)
Q86V24	ADIPOR2	ADIPOR2	Homo sapiens (Human)
P55263	ADK	ADK	Homo sapiens (Human)
P30542	ADORA1	ADORA1	Homo sapiens (Human)
P29274	ADORA2A	ADORA2A	Homo sapiens (Human)
P29275	ADORA2B	ADORA2B	Homo sapiens (Human)
P0DMS8	ADORA3	ADORA3	Homo sapiens (Human)
P35348	ADRA1A	ADRA1A	Homo sapiens (Human)
P35368	ADRA1B	ADRA1B	Homo sapiens (Human)
P25100	ADRA1D	ADRA1D	Homo sapiens (Human)
P08913	ADRA2A	ADRA2A	Homo sapiens (Human)
P18089	ADRA2B	ADRA2B	Homo sapiens (Human)
P18825	ADRA2C	ADRA2C	Homo sapiens (Human)
P08588	ADRB1	ADRB1	Homo sapiens (Human)
P07550	ADRB2	ADRB2	Homo sapiens (Human)
P13945	ADRB3	ADRB3	Homo sapiens (Human)
O15120	AGPAT2	AGPAT2	Homo sapiens (Human)
P30556	AGTR1	AGTR1	Homo sapiens (Human)
P50052	AGTR2	AGTR2	Homo sapiens (Human)
P23526	AHCY	AHCY	Homo sapiens (Human)
P35869	AHR	AHR	Homo sapiens (Human)
P00568	AK1	AK1	Homo sapiens (Human)
P54819	AK2	AK2	Homo sapiens (Human)
Q9UIJ7	AK3	AK3	Homo sapiens (Human)
P27144	AK4	AK4	Homo sapiens (Human)
Q9Y6K8	AK5	AK5	Homo sapiens (Human)
Q9Y3D8	AK6	AK6	Homo sapiens (Human)
Q96M32	AK7	AK7	Homo sapiens (Human)
Q96MA6	AK8	AK8	Homo sapiens (Human)
Q5TCS8	AK9	AK9	Homo sapiens (Human)
Q12802	AKAP13	AKAP13	Homo sapiens (Human)
P14550	AKR1A1	AKR1A1	Homo sapiens (Human)
P15121	AKR1B1	AKR1B1	Homo sapiens (Human)
O60218	AKR1B10	AKR1B10	Homo sapiens (Human)
Q04828	AKR1C1	AKR1C1	Homo sapiens (Human)
P42330	AKR1C3	AKR1C3	Homo sapiens (Human)
P31749	AKT1	AKT1	Homo sapiens (Human)
P31751	AKT2	AKT2	Homo sapiens (Human)
Q9Y243	AKT3	AKT3	Homo sapiens (Human)
P00352	ALDH1A1	ALDH1A1	Homo sapiens (Human)
O94788	ALDH1A2	ALDH1A2	Homo sapiens (Human)
P05091	ALDH2	ALDH2	Homo sapiens (Human)
P30838	ALDH3A1	ALDH3A1	Homo sapiens (Human)
P51649	ALDH5A1	ALDH5A1	Homo sapiens (Human)
P49419	ALDH7A1	ALDH7A1	Homo sapiens (Human)
Q9UM73	ALK	ALK	Homo sapiens (Human)
Q96Q83	ALKBH3	ALKBH3	Homo sapiens (Human)
P18054	ALOX12	ALOX12	Homo sapiens (Human)
P16050	ALOX15	ALOX15	Homo sapiens (Human)
O15296	ALOX15B	ALOX15B	Homo sapiens (Human)
P09917	ALOX5	ALOX5	Homo sapiens (Human)
P20292	ALOX5AP	ALOX5AP	Homo sapiens (Human)
P09923	ALPI	ALPI	Homo sapiens (Human)
P05186	ALPL	ALPL	Homo sapiens (Human)
P05187	ALPP	ALPP	Homo sapiens (Human)
P17707	AMD1	AMD1	Homo sapiens (Human)
P23109	AMPD1	AMPD1	Homo sapiens (Human)
Q01433	AMPD2	AMPD2	Homo sapiens (Human)
Q01432	AMPD3	AMPD3	Homo sapiens (Human)
Q9UJX3	ANAPC7	ANAPC7	Homo sapiens (Human)
Q5XXA6	ANO1	ANO1	Homo sapiens (Human)
P15144	ANPEP	ANPEP	Homo sapiens (Human)
Q16853	AOC3	AOC3	Homo sapiens (Human)
P02743	APCS	APCS	Homo sapiens (Human)
P13798	APEH	APEH	Homo sapiens (Human)
P27695	APEX1	APEX1	Homo sapiens (Human)
Q96BI3	APH1A	APH1A	Homo sapiens (Human)
Q8WW43	APH1B	APH1B	Homo sapiens (Human)
P35414	APLNR	APLNR	Homo sapiens (Human)
P04114	APOB	APOB	Homo sapiens (Human)
P05067	APP	APP	Homo sapiens (Human)
P29972	AQP1	AQP1	Homo sapiens (Human)
P55087	AQP4	AQP4	Homo sapiens (Human)
P10275	AR	AR	Homo sapiens (Human)
P84077	ARF1	ARF1	Homo sapiens (Human)
P18085	ARF4	ARF4	Homo sapiens (Human)
Q8N6T3	ARFGAP1	ARFGAP1	Homo sapiens (Human)
Q9Y6D6	ARFGEF1	ARFGEF1	Homo sapiens (Human)
Q9Y6D5	ARFGEF2	ARFGEF2	Homo sapiens (Human)
P05089	ARG1	ARG1	Homo sapiens (Human)
P78540	ARG2	ARG2	Homo sapiens (Human)
O14497	ARID1A	ARID1A	Homo sapiens (Human)
P32121	ARRB2	ARRB2	Homo sapiens (Human)
Q13510	ASAH1	ASAH1	Homo sapiens (Human)
P78348	ASIC1	ASIC1	Homo sapiens (Human)
Q9UHC3	ASIC3	ASIC3	Homo sapiens (Human)
Q6PL18	ATAD2	ATAD2	Homo sapiens (Human)
Q9ULI0	ATAD2B	ATAD2B	Homo sapiens (Human)
Q96QE3	ATAD5	ATAD5	Homo sapiens (Human)
Q9Y4P1	ATG4B	ATG4B	Homo sapiens (Human)
P31939	ATIC	ATIC	Homo sapiens (Human)
Q13315	ATM	ATM	Homo sapiens (Human)
O00244	ATOX1	ATOX1	Homo sapiens (Human)
P05023	ATP1A1	ATP1A1	Homo sapiens (Human)
P50993	ATP1A2	ATP1A2	Homo sapiens (Human)
P13637	ATP1A3	ATP1A3	Homo sapiens (Human)
Q13733	ATP1A4	ATP1A4	Homo sapiens (Human)
P05026	ATP1B1	ATP1B1	Homo sapiens (Human)
P14415	ATP1B2	ATP1B2	Homo sapiens (Human)
P54709	ATP1B3	ATP1B3	Homo sapiens (Human)
Q9UN42	ATP1B4	ATP1B4	Homo sapiens (Human)
O14983	ATP2A1	ATP2A1	Homo sapiens (Human)
P16615	ATP2A2	ATP2A2	Homo sapiens (Human)
Q93084	ATP2A3	ATP2A3	Homo sapiens (Human)
P20648	ATP4A	ATP4A	Homo sapiens (Human)
P51164	ATP4B	ATP4B	Homo sapiens (Human)
P25705	ATP5F1A	ATP5F1A	Homo sapiens (Human)
P06576	ATP5F1B	ATP5F1B	Homo sapiens (Human)
P05496	ATP5MC1	ATP5MC1	Homo sapiens (Human)
Q06055	ATP5MC2	ATP5MC2	Homo sapiens (Human)
P48201	ATP5MC3	ATP5MC3	Homo sapiens (Human)
P18859	ATP5PF	ATP5PF	Homo sapiens (Human)
Q9Y487	ATP6V0A2	ATP6V0A2	Homo sapiens (Human)
P38606	ATP6V1A	ATP6V1A	Homo sapiens (Human)
P15313	ATP6V1B1	ATP6V1B1	Homo sapiens (Human)
P21281	ATP6V1B2	ATP6V1B2	Homo sapiens (Human)
P21283	ATP6V1C1	ATP6V1C1	Homo sapiens (Human)
Q8NEY4	ATP6V1C2	ATP6V1C2	Homo sapiens (Human)
P36543	ATP6V1E1	ATP6V1E1	Homo sapiens (Human)
O75348	ATP6V1G1	ATP6V1G1	Homo sapiens (Human)
Q9UI12	ATP6V1H	ATP6V1H	Homo sapiens (Human)
Q13535	ATR	ATR	Homo sapiens (Human)
Q8WXE1	ATRIP	ATRIP	Homo sapiens (Human)
O14965	AURKA	AURKA	Homo sapiens (Human)
Q96GD4	AURKB	AURKB	Homo sapiens (Human)
Q9UQB9	AURKC	AURKC	Homo sapiens (Human)
P37288	AVPR1A	AVPR1A	Homo sapiens (Human)
P47901	AVPR1B	AVPR1B	Homo sapiens (Human)
P30518	AVPR2	AVPR2	Homo sapiens (Human)
O15169	AXIN1	AXIN1	Homo sapiens (Human)
Q9Y2T1	AXIN2	AXIN2	Homo sapiens (Human)
P30530	AXL	AXL	Homo sapiens (Human)
P56817	BACE1	BACE1	Homo sapiens (Human)
Q9Y5Z0	BACE2	BACE2	Homo sapiens (Human)
O14867	BACH1	BACH1	Homo sapiens (Human)
O75531	BANF1	BANF1	Homo sapiens (Human)
Q07812	BAX	BAX	Homo sapiens (Human)
Q9UIF9	BAZ2A	BAZ2A	Homo sapiens (Human)
Q9UIF8	BAZ2B	BAZ2B	Homo sapiens (Human)
P54687	BCAT1	BCAT1	Homo sapiens (Human)
O15382	BCAT2	BCAT2	Homo sapiens (Human)
P06276	BCHE	BCHE	Homo sapiens (Human)
P10415	BCL2	BCL2	Homo sapiens (Human)
Q16548	BCL2A1	BCL2A1	Homo sapiens (Human)
Q07817	BCL2L1	BCL2L1	Homo sapiens (Human)
Q92843	BCL2L2	BCL2L2	Homo sapiens (Human)
P11274	BCR	BCR	Homo sapiens (Human)
P46663	BDKRB1	BDKRB1	Homo sapiens (Human)
P30411	BDKRB2	BDKRB2	Homo sapiens (Human)
P02818	BGLAP	BGLAP	Homo sapiens (Human)
Q13490	BIRC2	BIRC2	Homo sapiens (Human)
Q13489	BIRC3	BIRC3	Homo sapiens (Human)
O15392	BIRC5	BIRC5	Homo sapiens (Human)
P54132	BLM	BLM	Homo sapiens (Human)
P35226	BMI1	BMI1	Homo sapiens (Human)
P13497	BMP1	BMP1	Homo sapiens (Human)
P12643	BMP2	BMP2	Homo sapiens (Human)
Q9NSY1	BMP2K	BMP2K	Homo sapiens (Human)
P12644	BMP4	BMP4	Homo sapiens (Human)
P36894	BMPR1A	BMPR1A	Homo sapiens (Human)
O00238	BMPR1B	BMPR1B	Homo sapiens (Human)
Q12830	BPTF	BPTF	Homo sapiens (Human)
P15056	BRAF	BRAF	Homo sapiens (Human)
O95696	BRD1	BRD1	Homo sapiens (Human)
P25440	BRD2	BRD2	Homo sapiens (Human)
Q15059	BRD3	BRD3	Homo sapiens (Human)
O60885	BRD4	BRD4	Homo sapiens (Human)
Q9NPI1	BRD7	BRD7	Homo sapiens (Human)
Q9H8M2	BRD9	BRD9	Homo sapiens (Human)
Q58F21	BRDT	BRDT	Homo sapiens (Human)
P55201	BRPF1	BRPF1	Homo sapiens (Human)
Q9ULD4	BRPF3	BRPF3	Homo sapiens (Human)
P32247	BRS3	BRS3	Homo sapiens (Human)
Q06187	BTK	BTK	Homo sapiens (Human)
Q9Y297	BTRC	BTRC	Homo sapiens (Human)
